id	dir_name	name	kingdom	phylum	genus	tax2	num_L	num_M	num_S	num_M_zero	num_M_fs	num_M_plus	num_M_minus	num_chlH	num_chlD	num_chlI	num_bchH	num_bchD	num_bchI	num_cobN	num_cobT	num_cobS	num_chlD_fs	num_bchD_fs	num_cobT_fs
2447	Carnimonas_nigrificans_ATCC_BAA_78	Carnimonas nigrificans ATCC BAA-78	Bacteria	Proteobacteria	Carnimonas	Gammaproteobacteria	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
1787	Catelliglobosispora_koreensis_DSM_44566	Catelliglobosispora koreensis DSM 44566	Bacteria	Actinobacteria	Catelliglobosispora	Micromonosporales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
470	Catenulispora_acidiphila_DSM_44928	Catenulispora acidiphila DSM 44928	Bacteria	Actinobacteria	Catenulispora	Catenulisporales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
2752	Catenuloplanes_japonicus	Catenuloplanes japonicus	Bacteria	Actinobacteria	Catenuloplanes	Micromonosporales	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
1010	Centipeda_periodontii_DSM_2778	Centipeda periodontii DSM 2778	Bacteria	Firmicutes	Centipeda	Negativicutes	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
1490	Chamaesiphon_minutus_PCC_6605	Chamaesiphon minutus PCC 6605	Bacteria	Cyanobacteria	Chamaesiphon	Synechococcales	2	1	2	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0
4903	Chitinophaga_filiformis	Chitinophaga filiformis	Bacteria	Bacteroidetes	Chitinophaga	Chitinophagia	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0
1085	Chloracidobacterium_thermophilum_B	Chloracidobacterium thermophilum B	Bacteria	Acidobacteria	Chloracidobacterium	Blastocatellia	2	2	1	2	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0
4268	Chlorobaculum_limnaeum	Chlorobaculum limnaeum	Bacteria	Chlorobi	Chlorobaculum	Chlorobia	5	1	2	1	0	0	0	3	1	2	0	0	0	2	0	0	0	0	0
399	Chlorobaculum_parvum_NCIB_8327	Chlorobaculum parvum NCIB 8327	Bacteria	Chlorobi	Chlorobaculum	Chlorobia	3	1	1	1	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0
