id	name	genus	phylum	kingdom	tax2	num_M	num_bchlD	num_bchlD_fs
184	Azorhizobium caulinodans ORS 571	Azorhizobium	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
185	Streptomyces griseus subsp. griseus NBRC 13350	Streptomyces	Actinobacteria	Bacteria	Streptomycetales	1	1	0
186	Microcystis aeruginosa NIES-843	Microcystis	Cyanobacteria	Bacteria	Oscillatoriophycideae	1	1	0
187	Desulfovibrio magneticus RS-1	Desulfovibrio	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
188	Hydrogenobacter thermophilus TK-6	Hydrogenobacter	Aquificae	Bacteria	Aquificales	0	0	0
189	Deferribacter desulfuricans SSM1	Deferribacter	Deferribacteres	Bacteria	Deferribacterales	0	0	0
190	Rothia mucilaginosa DY-18	Rothia	Actinobacteria	Bacteria	Micrococcales	0	0	0
191	Bacteroides thetaiotaomicron VPI-5482	Bacteroides	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
192	Pyrococcus horikoshii OT3	Pyrococcus	Euryarchaeota	Archaea	Thermococci	0	0	0
193	Thermoplasma volcanium GSS1	Thermoplasma	Euryarchaeota	Archaea	Thermoplasmata	1	1	0
194	Sulfolobus tokodaii str. 7	Sulfolobus	Crenarchaeota	Archaea	Thermoprotei	0	0	0
195	Mycoplasma penetrans HF-2	Mycoplasma	Tenericutes	Bacteria	Mollicutes	0	0	0
196	Oceanobacillus iheyensis HTE831	Oceanobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
197	Corynebacterium efficiens YS-314	Corynebacterium	Actinobacteria	Bacteria	Corynebacteriales	1	1	1
198	Corynebacterium glutamicum ATCC 13032	Corynebacterium	Actinobacteria	Bacteria	Corynebacteriales	1	1	1
199	Thermosynechococcus elongatus BP-1	Thermosynechococcus	Cyanobacteria	Bacteria	Synechococcales	1	1	0
200	Bradyrhizobium diazoefficiens USDA 110	Bradyrhizobium	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
201	Gloeobacter violaceus PCC 7421	Gloeobacter	Cyanobacteria	Bacteria	Gloeobacteria	1	1	0
202	Mycoplasma mycoides subsp. mycoides SC str. PG1	Mycoplasma	Tenericutes	Bacteria	Mollicutes	0	0	0
203	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Prochlorococcus	Cyanobacteria	Bacteria	Synechococcales	1	1	0
204	Prochlorococcus marinus str. MIT 9313	Prochlorococcus	Cyanobacteria	Bacteria	Synechococcales	1	1	0
205	Burkholderia pseudomallei K96243	Burkholderia	Proteobacteria	Bacteria	Betaproteobacteria	1	1	1
206	Bacillus licheniformis DSM 13 = ATCC 14580	Bacillus	Firmicutes	Bacteria	Bacilli	0	0	0
207	Gluconobacter oxydans 621H	Gluconobacter	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
208	Burkholderia mallei ATCC 23344	Burkholderia	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
209	Dehalococcoides mccartyi 195	Dehalococcoides	Chloroflexi	Bacteria	Dehalococcoidia	0	0	0
210	Ruegeria pomeroyi DSS-3	Ruegeria	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
211	Lactobacillus acidophilus NCFM	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
212	Shigella dysenteriae Sd197	Shigella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
213	Borrelia turicatae 91E135	Borrelia	Spirochaetes	Bacteria	Spirochaetales	0	0	0
214	Rickettsia felis URRWXCal2	Rickettsia	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
215	Sulfolobus acidocaldarius DSM 639	Sulfolobus	Crenarchaeota	Archaea	Thermoprotei	0	0	0
216	Psychrobacter arcticus 273-4	Psychrobacter	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
217	Colwellia psychrerythraea 34H	Colwellia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
218	Rickettsia bellii RML369-C	Rickettsia	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
219	Thermobifida fusca YX	Thermobifida	Actinobacteria	Bacteria	Streptosporangiales	1	1	0
220	Dechloromonas aromatica RCB	Dechloromonas	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
221	Prochlorococcus marinus str. NATL2A	Prochlorococcus	Cyanobacteria	Bacteria	Synechococcales	1	1	0
222	Methanosphaera stadtmanae DSM 3091	Methanosphaera	Euryarchaeota	Archaea	Methanobacteria	0	0	0
223	Ehrlichia canis str. Jake	Ehrlichia	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
224	Chlorobium chlorochromatii CaD3	Chlorobium	Chlorobi	Bacteria	Chlorobia	1	1	0
